Product ID,Product Name,Category,Price (USD),Stock Quantity,Rating,Number of Reviews,Seller Name,Discount Percentage,Sales Count
P1000,Product 1,Clothing,295.28,93,2.9,190,BeautyCare,0,7441
P1001,Product 2,Sports,323.12,126,4.6,105,SportsZone,20,3097
P1002,Product 3,Sports,494.66,32,4.8,3017,SportsZone,5,9671
P1003,Product 4,Home & Kitchen,434.72,147,3.5,2953,ToyGalaxy,0,4805
P1004,Product 5,Home & Kitchen,248.15,18,2.6,3977,TechStore,15,3829
P1005,Product 6,Clothing,382.43,18,3.8,4294,HomeEssentials,25,7929
P1006,Product 7,Beauty,198.14,31,4.3,2750,SportsZone,20,5264
P1007,Product 8,Electronics,155.78,91,3.2,1341,TechStore,25,1670
P1008,Product 9,Beauty,159.32,131,2.8,3991,ToyGalaxy,30,13
P1009,Product 10,Beauty,31.61,109,3.7,3062,ToyGalaxy,10,1871
P1010,Product 11,Sports,171.95,159,4.6,1706,TechStore,5,8111
P1011,Product 12,Books,437.07,78,3.2,4100,BeautyCare,10,8570
P1012,Product 13,Books,129.09,185,2.9,2937,ToyGalaxy,25,963
P1013,Product 14,Beauty,391.27,154,3.1,1233,HomeEssentials,30,4218
P1014,Product 15,Home & Kitchen,287.72,40,3.9,3336,FashionHub,5,5397
P1015,Product 16,Electronics,176.65,171,4,709,BookWorld,20,2855
P1016,Product 17,Home & Kitchen,265.42,116,2.9,2646,SportsZone,0,8780
P1017,Product 18,Home & Kitchen,181.12,1,2.8,3734,FashionHub,0,8481
P1018,Product 19,Electronics,107.41,90,4,2244,TechStore,0,7987
P1019,Product 20,Beauty,282.47,177,2.7,2785,BeautyCare,0,146
P1020,Product 21,Sports,136.69,26,4.1,2295,FashionHub,20,4629
P1021,Product 22,Electronics,176.04,63,3.5,166,TechStore,0,9640
P1022,Product 23,Electronics,248.61,49,2.5,2334,ToyGalaxy,30,6378
P1023,Product 24,Toys,368.82,28,4.3,458,SportsZone,15,6128
P1024,Product 25,Clothing,184.46,105,4.6,4766,FashionHub,15,6195
P1025,Product 26,Clothing,174.48,31,4.8,1311,HomeEssentials,5,3482
P1026,Product 27,Clothing,214.56,74,4.3,609,FashionHub,25,4508
P1027,Product 28,Beauty,115.56,182,4,305,ToyGalaxy,30,5998
P1028,Product 29,Home & Kitchen,335.45,125,4.3,4251,SportsZone,30,7461
P1029,Product 30,Beauty,150.33,73,4,4901,BookWorld,15,1470
P1030,Product 31,Home & Kitchen,206.09,48,3,2822,ToyGalaxy,5,8332
P1031,Product 32,Toys,156.43,22,2.8,1115,BeautyCare,25,5075
P1032,Product 33,Clothing,207.18,192,3.4,577,TechStore,30,3414
P1033,Product 34,Clothing,142.17,12,4.4,4542,FashionHub,25,3786
P1034,Product 35,Home & Kitchen,421.43,178,2.9,4111,HomeEssentials,0,8783
P1035,Product 36,Books,338.82,116,2.5,800,FashionHub,0,3958
P1036,Product 37,Electronics,443.76,106,5,1517,TechStore,20,9348
P1037,Product 38,Home & Kitchen,439.86,155,3.8,2100,TechStore,0,2906
P1038,Product 39,Beauty,302.96,164,4.1,2750,HomeEssentials,30,8035
P1039,Product 40,Books,193.16,160,3.5,4864,BeautyCare,15,1
P1040,Product 41,Beauty,193.73,134,3.5,3798,BookWorld,0,1648
P1041,Product 42,Books,133.21,144,3.2,3226,BeautyCare,5,9023
P1042,Product 43,Sports,159.27,3,4.6,767,TechStore,15,1327
P1043,Product 44,Beauty,360.06,124,3,3521,TechStore,0,6267
P1044,Product 45,Toys,184.98,41,4.7,80,HomeEssentials,0,4968
P1045,Product 46,Clothing,270.16,21,4.6,2381,HomeEssentials,25,4918
P1046,Product 47,Home & Kitchen,31.68,174,4.7,2103,ToyGalaxy,30,8300
P1047,Product 48,Beauty,436.31,197,3.6,3437,BeautyCare,10,9467
P1048,Product 49,Sports,76.79,172,3.3,1093,ToyGalaxy,5,1171
P1049,Product 50,Sports,46.23,61,3.4,1909,FashionHub,25,6498
P1050,Product 51,Toys,401.37,67,3.7,3093,ToyGalaxy,5,8455
P1051,Product 52,Clothing,465.45,193,4.7,2127,HomeEssentials,15,7337
P1052,Product 53,Home & Kitchen,333.01,190,4.9,124,ToyGalaxy,15,6200
P1053,Product 54,Toys,465.7,114,4.8,3463,BeautyCare,25,5757
P1054,Product 55,Clothing,466.62,9,4.7,42,HomeEssentials,0,1077
P1055,Product 56,Home & Kitchen,48.57,51,2.6,1697,ToyGalaxy,10,2426
P1056,Product 57,Books,200,22,2.6,3471,BeautyCare,30,5089
P1057,Product 58,Clothing,408.21,119,3.6,2988,BookWorld,0,9717
P1058,Product 59,Home & Kitchen,73.46,62,3.4,4578,FashionHub,5,2558
P1059,Product 60,Toys,12.37,26,4.7,4025,TechStore,10,4079
P1060,Product 61,Sports,174.62,77,3.3,1638,BeautyCare,0,7939
P1061,Product 62,Toys,276.92,47,4.7,3182,BookWorld,5,628
P1062,Product 63,Toys,198.82,59,4.8,1210,BeautyCare,30,7457
P1063,Product 64,Beauty,301.59,157,4.8,4900,TechStore,10,5057
P1064,Product 65,Books,16.55,117,4.7,3008,ToyGalaxy,0,4775
P1065,Product 66,Beauty,357.06,161,3,37,HomeEssentials,10,7297
P1066,Product 67,Beauty,96.87,1,3.4,1315,SportsZone,0,1285
P1067,Product 68,Electronics,341.56,96,3.3,2588,SportsZone,5,4899
P1068,Product 69,Home & Kitchen,93.39,161,4.6,3058,BookWorld,20,1541
P1069,Product 70,Books,381.05,172,4.9,2583,TechStore,15,9697
P1070,Product 71,Toys,252.75,192,4,755,BookWorld,30,882
P1071,Product 72,Sports,122.19,43,3.6,1687,FashionHub,25,3207
P1072,Product 73,Beauty,447.93,119,4.2,3134,ToyGalaxy,15,7198
P1073,Product 74,Toys,137.23,141,3.1,1445,BeautyCare,5,4790
P1074,Product 75,Home & Kitchen,439.94,34,3.6,2385,ToyGalaxy,15,1246
P1075,Product 76,Sports,127.15,63,4.3,2436,BeautyCare,5,1486
P1076,Product 77,Clothing,301.9,7,4.7,3576,HomeEssentials,30,9104
P1077,Product 78,Books,161.83,147,4.6,678,BeautyCare,15,9801
P1078,Product 79,Sports,271.05,163,4,2330,TechStore,20,4812
P1079,Product 80,Beauty,271.82,68,2.8,4727,FashionHub,30,5949
P1080,Product 81,Beauty,345.54,71,4,535,FashionHub,25,7013
P1081,Product 82,Sports,199.13,114,3.8,3299,FashionHub,15,3087
P1082,Product 83,Electronics,110.92,123,3.9,3529,HomeEssentials,20,6579
P1083,Product 84,Beauty,178.29,48,4.5,4391,ToyGalaxy,10,8009
P1084,Product 85,Toys,450.08,108,4.6,1718,SportsZone,0,3896
P1085,Product 86,Books,49.8,43,4.4,4783,ToyGalaxy,5,2840
P1086,Product 87,Clothing,313.49,113,4.7,3331,ToyGalaxy,15,4982
P1087,Product 88,Beauty,246.67,167,3,4736,BookWorld,25,7705
P1088,Product 89,Home & Kitchen,28.61,126,4.5,1739,BookWorld,10,9791
P1089,Product 90,Clothing,364.98,9,3.1,3483,HomeEssentials,5,8418
P1090,Product 91,Books,297.63,181,4.8,4459,BookWorld,15,3763
P1091,Product 92,Toys,293.34,81,2.6,3362,HomeEssentials,25,9680
P1092,Product 93,Home & Kitchen,152.41,45,4.9,2521,FashionHub,30,971
P1093,Product 94,Home & Kitchen,249.92,11,2.7,3519,BookWorld,25,5214
P1094,Product 95,Books,226.01,13,3.9,4201,ToyGalaxy,20,3054
P1095,Product 96,Sports,489.46,187,4.1,4605,BookWorld,5,7901
P1096,Product 97,Electronics,296,114,4.4,1834,ToyGalaxy,30,8942
P1097,Product 98,Clothing,9.18,25,4.6,4229,SportsZone,10,9405
P1098,Product 99,Electronics,447.99,186,3.7,3153,ToyGalaxy,0,2558
P1099,Product 100,Toys,65.61,195,3.2,1975,FashionHub,0,7463
